bd_upazila_distance_to_coast
centroid_lat,centroid_lon,distance_km,upazila
25.29204810847220,89.06208932211860,227.04227976264200,Hakimpur
22.337676172552200,91.77578821746880,0.0,Halishahar
25.084636704572,90.35133858472050,154.23694679145400,Haluaghat
23.642709143532500,89.07661590412670,110.21499966830000,Harinakunda
25.87845225831060,88.15484263619660,329.21494385939200,Haripur
23.724174812928800,89.94785967368470,30.982780618104200,Harirampur
22.52783976892180,91.79789947737610,0.5918074235295970,Hathazari
26.121451631428000,89.14096377466430,296.77751811335900,Hatibandha
22.309381810833800,91.09095649422320,0.0,Hatiya
23.738993484454700,90.35912747088600,18.484734162644100,Hazaribagh
22.95620383609710,90.52195514808030,0.0,Hizla
23.679234301718400,90.81273650968300,9.848986744091790,Homna
24.448810442973300,90.66284686106140,86.85887027030180,Hossainpur
24.07779148920480,89.09726272325900,124.14323177195200,Ishwardi
24.64503186118780,90.59947526329320,105.71588699023900,Ishwarganj
25.075201671877100,89.76127070088560,167.1050794246560,Islampur
24.54926120446580,91.08248405418390,102.08690519260800,Itna
24.74693338599460,91.55585411733050,144.43679538529500,Jagannathpur
25.056400671971000,92.1013747864619,199.78083118674200,Jaintiapur
26.029503493825900,88.99345218911000,296.2817718052410,Jaldhaka
24.95410665057040,91.20306297126420,141.31035515196700,Jamalganj
24.84416008517980,90.01248685875410,136.05543977919100,Jamalpur Sadar
23.713409280240600,90.45143442646510,12.430706980485100,Jatrabari
22.6796744009814,90.1922628479929,10.985588797866600,Jhalokati Sadar
23.516457957825700,89.15781080413930,95.31776254206870,Jhenaidah Sadar
25.181826866324700,90.05297983685050,169.5459273841730,Jhenaigati
23.06891956858960,89.05423232797400,81.9300004869434,Jhikargachha
23.44107863131280,88.8491864048544,128.62425926969900,Jiban Nagar
25.105611058696200,89.01997129590710,211.16105982592400,Joypurhat Sadar
22.630866687320100,92.4225156126984,48.1200679794204,Jurai Chhari
24.55310655159040,92.14323016963340,169.3056944098280,Juri
22.813392791622100,91.19990165993290,2.032712299478930,Kabirhat
23.362600825013100,90.88172743165970,10.354186063724100,Kachua
22.652254974851700,89.8747652129253,14.496020755083500,Kachua
23.687266642510000,90.4487607707715,9.835454758449940,Kadamtali
23.795631735821400,90.38482076168580,21.999222013106900,Kafrul
24.832249009569100,89.25048831008000,170.17295014546800,Kahaloo
25.800895807051300,88.59886514911350,298.3769619858050,Kaharole
21.93562087427560,90.21837163320980,0.0,Kala Para
23.747064592796300,90.38614951344520,19.577715776362900,Kalabagan
25.077800928567100,89.19779796756170,199.20946926663700,Kalai
22.880724797436900,89.03023756784570,68.4728044310211,Kalaroa
23.027972251666400,89.64409316048190,54.3697360303163,Kalia
24.103189418395600,90.26457807121970,50.128921495020500,Kaliakair
23.964255414484400,90.55490934805210,28.89412328081440,Kaliganj
23.369687892293100,89.15183797279380,99.99893926083840,Kaliganj
22.44724080296120,89.06233013067360,20.59486446337350,Kaliganj
25.985617190423800,89.24020810867800,282.26052756367600,Kaliganj
24.36001371045920,89.94490392095840,90.34989460901490,Kalihati
23.070903805778400,90.24833691282280,10.260938201223100,Kalkini
25.07687118526660,90.85727732775660,151.52768690231700,Kalmakanda
23.74098189136100,89.47416799622550,73.75357301684080,Kalukhali
24.31563548470290,91.85923247930930,132.4021100169020,Kamalganj
22.767534528433600,90.8653290098823,0.0,Kamalnagar
24.374996779766600,89.6435519096394,110.46240083671100,Kamarkhanda
23.711545072420300,90.37176768762370,16.681707528328000,Kamrangir Char
24.993549738737600,92.21802124790110,199.04715753814300,Kanaighat
22.420269469814100,90.10230444274640,4.286207309349300,Kanthalia
24.147176011893500,90.5998449021148,46.90651786422290,Kapasia
22.459795412361300,92.19350830015220,21.384539101258500,Kaptai
24.451278650042500,90.89599517406560,88.15068828844320,Karimganj
23.76304452887810,91.13030296739350,41.38639070275050,Kasba
23.190713830685000,89.7962845891537,45.48046168251100,Kashiani
24.291026416721700,90.82402072077180,65.8693064093106,Katiadi
25.7637731100451,89.3949597023979,256.11178389671800,Kaunia
22.606448416602100,90.05848984334420,3.0829480776474700,Kawkhali
22.62076805037620,92.00958109245670,9.90589414390135,Kawkhali (Betbunia)
24.670213658885400,89.6872921430452,132.085115542684,Kazipur
24.67731258351210,90.80290797244990,108.99643142616800,Kendua
23.693475315086300,90.34428253092570,5.0413327864071,Keraniganj
22.880121745194100,89.23162831268210,60.75557730823920,Keshabpur
23.128311517096900,91.98602654259630,49.79663484180070,Khagrachhari Sadar
24.702347058829800,91.12131119002010,119.16209255984500,Khaliajuri
22.849754852165900,89.53634101221100,55.26938234328840,Khalishpur
22.916760261781000,89.49043073468810,62.57330932202060,Khan Jahan Ali
25.869707412851900,88.7652430002732,295.1692531517540,Khansama
25.02238427399560,89.1180518210439,195.8269821229190,Khetlal
23.759899736866100,90.45477246457000,17.59062918014920,Khilgaon
23.834451915894100,90.4475561627724,26.408512702182300,Khilkhet
23.808719382684500,89.29971975099890,100.03737334057400,Khoksa
22.800606235244600,89.56864023497950,48.24743519262510,Khulna Sadar
22.36607165178500,91.80013897123830,1.7199160947109700,Khulshi
25.89602090665440,89.0328656991315,285.37041742274600,Kishoreganj
24.42376834954560,90.78335199949170,82.88455773983190,Kishoreganj Sadar
23.0110044671031,90.02069737688750,31.28317865435100,Kotali Para
23.447901693245900,88.99868528019590,118.59528843390300,Kotchandpur
22.343018056529600,91.83233356679420,0.0,Kotwali
23.709697123786100,90.40809858543370,14.88700021584110,Kotwali
23.181944666463800,89.21932500533160,86.57384006339510,Kotwali
22.145239704656700,89.3822575860887,0.0,Koyra
24.49025606752580,92.01233990006010,150.9263204416900,Kulaura
24.151888844280700,90.88812225038730,60.332772314433800,Kuliar Char
23.8566543458526,89.20953022070590,105.3288310870500,Kumarkhali
25.826029687805700,89.69070845019620,252.13172581931200,Kurigram Sadar
23.822230022697600,89.08960822218390,114.47587305462300,Kushtia Sadar
21.837965757329800,91.86255293809860,0.0,Kutubdia
24.298096260856500,91.2603795431891,90.79788812284130,Lakhai
23.2386957502018,91.10524203491650,37.12273262551150,Laksam
22.78494177633220,91.92905960451070,27.80684598219040,Lakshmichhari
22.921058632338800,90.86310126147770,0.0,Lakshmipur Sadar
23.721152559151700,90.37784017848380,17.275936637488000,Lalbagh
22.316125984242000,90.75162172240870,0.0,Lalmohan
25.87468875219090,89.45260985838570,264.5534554250420,Lalmonirhat Sadar
24.19839731962520,88.98494258373000,139.60727468004000,Lalpur
21.817933148528900,92.2075917329309,6.250812545055420,Lama
22.950553190378300,92.20885296910190,50.225845005379900,Langadu
21.986212744880600,92.11112025281440,10.236525102265900,Lohagara
23.204845238298700,89.62361595186870,58.18777000972780,Lohagara
23.47058541680720,90.34135364407150,0.0,Lohajang
24.67752617946500,90.96708067307640,115.02853196470400,Madan
24.88187796205740,89.74083440350830,149.98253855716200,Madarganj
23.193766589858,90.17485060439400,18.073381969371400,Madaripur Sadar
24.12043919486900,91.3414673911414,77.69537957344210,Madhabpur
23.540929966317800,89.61204423863100,52.20576724866620,Madhukhali
24.650167705339200,90.06022983809740,110.3132209098180,Madhupur
23.451842893770700,89.41303241381700,74.3215856212705,Magura Sadar
24.91991624265560,88.76475636677860,205.66346100721500,Mahadebpur
22.951465717475700,92.02337577428650,40.60213850257170,Mahalchhari
21.608982769634400,91.92100965993280,0.0,Maheshkhali
23.31968182448510,88.85782237022520,112.85523222291900,Maheshpur
24.74432881742970,88.71298652783510,196.11995801436200,Manda
